bond_length,basis,startingwf,method,orbitals,statenumber,determinant_cutoff,nconfig,energy,error,entropy
1.4,vtz,hci0.08,vmc,fixed,0,0,400,-1.1604136489704895,0.00012207202847916462,0.39901667100187466
1.4,vtz,hci0.08,vmc,orbitals,0,0,400,-1.1690145413293336,0.0001107572266186111,0.25699464018038315
1.4,vtz,hci0.1,vmc,fixed,0,0,400,-1.1714139712587603,5.9210846924726914e-05,0.23983359392347142
1.4,vtz,hci0.1,vmc,orbitals,0,0,400,-1.171914915790711,6.658457351481674e-05,0.26433911240737323
1.4,vtz,hf,vmc,fixed,0,0,400,-1.1716571553405772,6.277539717822699e-05,0.25025632057627845
1.4,vtz,hf,vmc,orbitals,0,0,400,-1.1719313303913752,6.599294929391458e-05,0.2525052488938397
1.4,vtz,uhf,vmc,fixed,0,0,400,-1.1719291498224509,6.635138245711852e-05,0.2503663718799371
1.4,vtz,uhf,vmc,orbitals,0,0,400,-1.1715309195286805,7.179293621253234e-05,0.2350953427701764
1.6,vtz,hci0.02,vmc,fixed,0,0,400,-1.1669683904871235,5.5983066733634016e-05,0.3270831102045187
1.6,vtz,hci0.02,vmc,orbitals,0,0,400,-1.1620562817432798,0.00012860506122613476,0.35508283736971474
1.6,vtz,hci0.05,vmc,fixed,0,0,400,-1.1631666330066284,0.00012322544435000875,0.2768975810974313
1.6,vtz,hci0.05,vmc,orbitals,0,0,400,-1.1652147114779847,7.563416213110538e-05,0.27821825703894765
1.6,vtz,hci0.08,vmc,fixed,0,0,400,-1.1631556328563164,9.805401917779616e-05,0.25492042933608644
1.6,vtz,hci0.08,vmc,orbitals,0,0,400,-1.1634522088638248,8.599308809679454e-05,0.2625293587521309
1.6,vtz,hci0.1,vmc,fixed,0,0,400,-1.165054499643302,8.472709443387544e-05,0.269779515375707
1.6,vtz,hci0.1,vmc,orbitals,0,0,400,-1.1652543930355006,6.581855877249703e-05,0.26924459455064065
1.6,vtz,hf,vmc,fixed,0,0,400,-1.1654216952963832,7.024935542471372e-05,0.27125813230345514
1.6,vtz,hf,vmc,orbitals,0,0,400,-1.1653240478280833,6.120546383381562e-05,0.2626313006855851
1.6,vtz,uhf,vmc,fixed,0,0,400,-1.16544855439953,8.270116454696177e-05,0.26719757845451825
1.6,vtz,uhf,vmc,orbitals,0,0,400,-1.1654751641393106,6.703743127526534e-05,0.2853367265377398
1.8,vtz,hci0.02,vmc,fixed,0,0,400,-1.1537898235656627,6.431761028241407e-05,0.36335606820417027
1.8,vtz,hci0.02,vmc,orbitals,0,0,400,-1.1536249244525452,5.9427989895079425e-05,0.3542275945973375
1.8,vtz,hci0.05,vmc,fixed,0,0,400,-1.1527949803439,6.29807691285342e-05,0.33872499510624
1.8,vtz,hci0.05,vmc,orbitals,0,0,400,-1.1526811669438426,6.73324061808338e-05,0.355269150259306
1.8,vtz,hci0.08,vmc,fixed,0,0,400,-1.1506801194852394,8.968496825523194e-05,0.27347072486214885
1.8,vtz,hci0.08,vmc,orbitals,0,0,400,-1.1517970169662433,6.083180171899369e-05,0.29565226224348135
1.8,vtz,hci0.1,vmc,fixed,0,0,400,-1.150804168929581,8.538102967209412e-05,0.29826018902107354
1.8,vtz,hci0.1,vmc,orbitals,0,0,400,-1.1510679224552296,7.710980789849167e-05,0.285319890786173
1.8,vtz,hf,vmc,fixed,0,0,400,-1.1508909265779912,7.942697937270543e-05,0.27665778614129455
1.8,vtz,hf,vmc,orbitals,0,0,400,-1.1511786156683952,6.658028667044055e-05,0.2893349686115317
1.8,vtz,uhf,vmc,fixed,0,0,400,-1.1509757481301106,7.32083780180703e-05,0.28776363039947017
1.8,vtz,uhf,vmc,orbitals,0,0,400,-1.151208485563823,7.058809838544619e-05,0.3039082391899091
2.0,vtz,hci0.1,dmc0.02,fixed,0,0,400,-1.1376993092590346,9.283903238944376e-05,0.325161194960996
2.0,vtz,hci0.1,dmc0.02,orbitals,0,0,400,-1.1381032263138144,7.73943875831238e-05,0.3205600917161851
2.0,vtz,hf,dmc0.02,fixed,0,0,400,-1.1377135151139746,7.191308535148269e-05,0.32394422674494155
2.0,vtz,hf,dmc0.02,orbitals,0,0,400,-1.1380775132169465,7.793726731890461e-05,0.32935601891680516
2.0,vtz,hci0.02,vmc,fixed,0,0,400,-1.136491071397623,6.236326699463571e-05,0.43612049007863285
2.0,vtz,hci0.02,vmc,orbitals,0,0,400,-1.1367938805636661,6.623310375367881e-05,0.4186953588344409
2.0,vtz,hci0.05,vmc,fixed,0,0,400,-1.1364456870845123,4.356527083686956e-05,0.4155437911309788
2.0,vtz,hci0.05,vmc,orbitals,0,0,400,-1.1369743492523607,5.4023079927226636e-05,0.41072203535846097
2.0,vtz,hci0.08,vmc,fixed,0,0,400,-1.1333726301345537,8.791444817605009e-05,0.30944920515103247
2.0,vtz,hci0.08,vmc,orbitals,0,0,400,-1.133369853691179,6.973389578796447e-05,0.30894728748487793
2.0,vtz,hci0.1,vmc,fixed,0,0,400,-1.1322086363355024,8.156157462020075e-05,0.306446029035753
2.0,vtz,hci0.1,vmc,orbitals,0,0,400,-1.1331764310697925,7.981273298601032e-05,0.3364753463201124
2.0,vtz,hf,vmc,fixed,0,0,400,-1.1330445842416936,8.236382848293697e-05,0.32642616228762167
2.0,vtz,hf,vmc,orbitals,0,0,400,-1.1331529707817076,7.881915670868945e-05,0.31802317564713106
2.0,vtz,uhf,vmc,fixed,0,0,400,-1.132690590613492,8.300795277843567e-05,0.30995013898197005
2.0,vtz,uhf,vmc,orbitals,0,0,400,-1.1329219537076716,7.646392682812606e-05,0.3138987588819399
3.0,vtz,hci0.1,dmc0.02,fixed,0,0,400,-1.057642979125613,8.315637522659733e-05,0.7187732162266849
3.0,vtz,hci0.1,dmc0.02,orbitals,0,0,400,-1.0572954070011558,5.206674668270077e-05,0.724317926446417
3.0,vtz,hf,dmc0.02,fixed,0,0,400,-1.0562032207506191,0.0001310916158239285,0.5465477965680944
3.0,vtz,hf,dmc0.02,orbitals,0,0,400,-1.056006793771037,0.00016953480795633863,0.5420851057004858
3.0,vtz,hci0.02,vmc,fixed,0,0,400,-1.0507172052165479,0.0001163687809352595,0.7896851871831162
3.0,vtz,hci0.02,vmc,orbitals,0,0,400,-1.0560233749680263,4.379148187630096e-05,0.802247746783528
3.0,vtz,hci0.05,vmc,fixed,0,0,400,-1.0556224379004977,4.605032028061912e-05,0.7706215084893572
3.0,vtz,hci0.05,vmc,orbitals,0,0,400,-1.0559658323830508,3.6995557041032794e-05,0.7751656316148686
3.0,vtz,hci0.08,vmc,fixed,0,0,400,-1.0502042889146244,8.910630594235679e-05,0.7105046937517986
3.0,vtz,hci0.08,vmc,orbitals,0,0,400,-1.0534714041382318,5.5208595151465515e-05,0.7519748563982103
3.0,vtz,hci0.1,vmc,fixed,0,0,400,-1.050237890624075,9.607098994536991e-05,0.6993739840263846
3.0,vtz,hci0.1,vmc,orbitals,0,0,400,-1.0541063487285378,5.6877458542807014e-05,0.7510875998313439
3.0,vtz,hf,vmc,fixed,0,0,400,-1.0417873995012854,0.00011448522552263418,0.4869165319177858
3.0,vtz,hf,vmc,orbitals,0,0,400,-1.0414411177188905,0.00010549525300613809,0.4790164533096231
3.0,vtz,uhf,vmc,fixed,0,0,400,-1.032465247249015,7.80765152476654e-05,0.1748893049327811
3.0,vtz,uhf,vmc,orbitals,0,0,400,-1.0336075724652836,7.888697702359982e-05,0.19907698716298836
4.0,vtz,hci0.1,dmc0.02,fixed,0,0,400,-1.0155244801453351,6.980843187981474e-05,1.1924332480786872
4.0,vtz,hci0.1,dmc0.02,orbitals,0,0,400,-1.0164756702640063,3.835459441098281e-05,1.1664250386854957
4.0,vtz,hf,dmc0.02,fixed,0,0,400,-1.014557222754417,0.0003358395543729975,0.8594037162713701
4.0,vtz,hf,dmc0.02,orbitals,0,0,400,-1.0139543707172685,0.00028341659082315606,0.8750284672972228
4.0,vtz,hci0.02,vmc,fixed,0,0,400,-1.014910165520343,4.564753375547901e-05,1.2140920321402622
4.0,vtz,hci0.02,vmc,orbitals,0,0,400,-1.0048985785100741,0.00019326811017631294,1.2258810778036777
4.0,vtz,hci0.05,vmc,fixed,0,0,400,-1.0101802552916757,8.756038711820055e-05,1.1986886810478472
4.0,vtz,hci0.05,vmc,orbitals,0,0,400,-1.0147978062752052,3.81791809459522e-05,1.2058687791491085
4.0,vtz,hci0.08,vmc,fixed,0,0,400,-1.0094327095907443,0.0001422326381742618,1.2068327286270308
4.0,vtz,hci0.08,vmc,orbitals,0,0,400,-1.0151919182004954,3.6796238069744634e-05,1.2003444662693954
4.0,vtz,hci0.1,vmc,fixed,0,0,400,-1.009795430439974,0.00016585797068062366,1.2158540499116401
4.0,vtz,hci0.1,vmc,orbitals,0,0,400,-1.0148190203364242,3.701158244005955e-05,1.1972680781304368
4.0,vtz,hf,vmc,fixed,0,0,400,-0.983681094042705,0.00017407248584427686,0.7296015670296099
4.0,vtz,hf,vmc,orbitals,0,0,400,-0.9840855254298322,0.00021113232597706923,0.7589541310825545
4.0,vtz,uhf,vmc,fixed,0,0,400,-1.0042037771666346,4.3661417105511806e-05,0.07117154880389817
4.0,vtz,uhf,vmc,orbitals,0,0,400,-1.004555710178888,3.6600053025461736e-05,0.07611521211923652
4.4,vtz,hf,vmc,fixed,0,0,400,-0.9704449648897866,0.0003590807580621941,0.8661048704344532
4.4,vtz,hf,vmc,orbitals,0,0,400,-0.9703951029699338,0.0003351038506611824,0.8629535976247424
4.4,vtz,uhf,vmc,fixed,0,0,400,-1.0021354131476061,3.2587231002100184e-05,0.07250079124008495
4.4,vtz,uhf,vmc,orbitals,0,0,400,-1.0021233594080166,3.16657935859794e-05,0.06989182506302773
4.8,vtz,hf,vmc,fixed,0,0,400,-0.960408193893031,0.0005717776055338981,0.9408768237031045
4.8,vtz,hf,vmc,orbitals,0,0,400,-0.9616302527164273,0.0005722314801198203,0.9883860876260191
4.8,vtz,uhf,vmc,fixed,0,0,400,-1.0009613843361227,2.7741627088234466e-05,0.06740599402041414
4.8,vtz,uhf,vmc,orbitals,0,0,400,-1.0000862370937578,0.00013418036572208046,0.05927899154833543
5.0,vtz,hci0.1,dmc0.02,fixed,0,0,400,-1.0026010335530857,9.9278675017051e-05,1.401750310874394
5.0,vtz,hci0.1,dmc0.02,orbitals,0,0,400,-1.003740839563002,2.374815148675395e-05,1.389342571812144
5.0,vtz,hf,dmc0.02,fixed,0,0,400,-1.0013683326076983,0.00046459444159625206,1.1257984196131967
5.0,vtz,hf,dmc0.02,orbitals,0,0,400,-0.9995766560274355,0.00040580081230481916,1.133250582510487
5.0,vtz,hci0.1,vmc,fixed,0,0,400,-0.9937842444989707,0.0010979809929174142,1.4687115591997781
5.0,vtz,hci0.1,vmc,orbitals,0,0,400,-1.0027880860719915,3.6086650983929434e-05,1.4130464056235086
5.0,vtz,hf,vmc,fixed,0,0,400,-0.9581245976700417,0.0008356872108550577,1.0015816718202666
5.0,vtz,hf,vmc,orbitals,0,0,400,-0.9582718541146711,0.000809307731823667,1.0026100521580537
5.0,vtz,uhf,vmc,fixed,0,0,400,-1.0004338092282832,7.657724511294351e-05,0.07130747018048167
5.0,vtz,uhf,vmc,orbitals,0,0,400,-1.0005496850291826,3.416785294606596e-05,0.06575438054340098
5.2,vtz,hci0.1,dmc0.02,fixed,0,0,400,-1.0015629570233773,0.0001469463752329212,1.4124628734277307
5.2,vtz,hci0.1,dmc0.02,orbitals,0,0,400,-1.0028939007490532,3.305895034129937e-05,1.401224306144187
5.2,vtz,hf,dmc0.02,fixed,0,0,400,-0.9992759470443041,0.0004820759537813109,1.1663444376583627
5.2,vtz,hf,dmc0.02,orbitals,0,0,400,-0.9991745472375819,0.00043872352319740794,1.1561152195095523
5.2,vtz,hci0.02,vmc,fixed,0,0,400,-0.9941915455359799,0.0023367321508867387,1.477940955497649
5.2,vtz,hci0.02,vmc,orbitals,0,0,400,-0.9977079874621524,0.0014203062367229454,1.5041094781178295
5.2,vtz,hci0.05,vmc,fixed,0,0,400,-0.9787527141184961,0.004097782856148988,1.4966989702907205
5.2,vtz,hci0.05,vmc,orbitals,0,0,400,-1.0020531495945273,2.9276394014352567e-05,1.437096826802877
5.2,vtz,hci0.08,vmc,fixed,0,0,400,-0.9908597445841051,0.0015122540787163474,1.5236356683540901
5.2,vtz,hci0.08,vmc,orbitals,0,0,400,-1.002179744606117,2.8858511261794423e-05,1.4155624386637475
5.2,vtz,hci0.1,vmc,fixed,0,0,400,-0.9889203709635348,0.002075377759412872,1.5440982134142718
5.2,vtz,hci0.1,vmc,orbitals,0,0,400,-1.0015890252784885,4.0297912097515615e-05,1.4225089022505153
5.2,vtz,hf,vmc,fixed,0,0,400,-0.9549397177010017,0.0010024539107073595,1.0355519219467155
5.2,vtz,hf,vmc,orbitals,0,0,400,-0.9541610989330798,0.0009861831985164932,1.021889702339368
5.2,vtz,uhf,vmc,fixed,0,0,400,-0.9996476958471936,0.00032236283872683264,0.06059160953093992
5.2,vtz,uhf,vmc,orbitals,0,0,400,-1.0003709334753508,3.028580039522997e-05,0.07262525855413986
